status,shopCode,name,category,subcategory,confidence,source,family,reasonCode,reason,evidence,negativeEvidence
MANUAL_REVIEW,А-00004,Вентилятор ALCO,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00246,"Смайлики силикон, 4 шт",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00278,Собака маленькая,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00404,Собака (очень большая),,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00526,Обезьяна на присоске,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00543,"""КОТО"" Разветвитель двойной 201",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00548,Тюнинг Нива-Тайга,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00616,"Аппликатор ""Доктор ВАКС""",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00711,Покрытие пола (линолеум),,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00723,Автопарфюм 7 мл,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00726,Бокс 2101-07 Люкс,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00894,Рысь (большая),,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00896,Опора полки 2108 (2 шт),,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00918,Поросенок (большой),,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00936,Стакан (нержавейка),,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00946,Мышь музыкальная,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-00979,"Вентилятор ""Valgo""",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-01033,Игрушка-корова на присоске,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-01050,"""Леопард"" хромир.",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-01099,"Рация ""Мега-Джет"" 300,100",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-01159,"Рация ""Алан-48 плюс""",,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-01206,Отбойник УАЗ-Патриот СА-пласт.,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
BLOCKED_CONFLICT,А-01211,Накладка на воздухозаборник 2110 (краш.),kuzov-i-optika,kuzovnye-detali,0.84,blocked_conflict,Кузовные воздухозаборники,close_candidates,"Несколько категорий получили близкие оценки, требуется ручная проверка.",family:body_air_intakes | token:воздухозаборник | phrase:воздухозаборник | validation:normalizer:4:useful_tokens,
MANUAL_REVIEW,А-01280,Перчатки зимние п/шерсть черные с ПВХ,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-01287,Бумажник водителя BLACK натур. кожа,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
MANUAL_REVIEW,А-01292,Нож дорожный,,,0,no_match,no_match,no_candidate,Категория и подкатегория не определены правилами.,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",
